X:Pos_TX-Body5-slider_crank(mm),Y:Pos_TX-Body5-slider_crank(mm),Y:Pos_TY-Body5-slider_crank(mm),Y:Pos_TZ-Body5-slider_crank(mm)
0.54325300,-22.144834,349.74861,-1.0709534e-12
0.54425300,-22.935542,349.84138,-1.0718258e-12
0.54525300,-23.726475,349.93213,-1.0726970e-12
0.54625300,-24.517621,350.02088,-1.0735670e-12
0.54725300,-25.308968,350.10760,-1.0744359e-12
0.54825300,-26.100503,350.19232,-1.0753036e-12
0.54925300,-26.892214,350.27501,-1.0761701e-12
0.55025300,-27.684089,350.35570,-1.0770355e-12
0.55125300,-28.476115,350.43436,-1.0778996e-12
0.55225300,-29.268281,350.51102,-1.0787625e-12
0.55325300,-30.060573,350.58566,-1.0796242e-12
0.55425300,-30.852980,350.65828,-1.0804847e-12
0.55525300,-31.645490,350.72889,-1.0813440e-12
0.55625300,-32.438089,350.79748,-1.0822020e-12
0.55725300,-33.230765,350.86407,-1.0830588e-12
0.55825300,-34.023507,350.92864,-1.0839143e-12
0.55925300,-34.816301,350.99120,-1.0847686e-12
0.56025300,-35.609136,351.05174,-1.0856216e-12
0.56125300,-36.401999,351.11028,-1.0864733e-12
0.56225300,-37.194877,351.16680,-1.0873237e-12
0.56325300,-37.987759,351.22132,-1.0881729e-12
0.56425300,-38.780631,351.27383,-1.0890207e-12
0.56525300,-39.573483,351.32433,-1.0898672e-12
0.56625300,-40.366300,351.37283,-1.0907125e-12
0.56725300,-41.159071,351.41933,-1.0915564e-12
0.56825300,-41.951783,351.46382,-1.0923990e-12
0.56925300,-42.744425,351.50631,-1.0932402e-12
0.57025300,-43.536983,351.54680,-1.0940801e-12
0.57125300,-44.329445,351.58529,-1.0949187e-12
0.57225300,-45.121800,351.62179,-1.0957559e-12
0.57325300,-45.914034,351.65629,-1.0965917e-12
0.57425300,-46.706135,351.68880,-1.0974261e-12
0.57525300,-47.498091,351.71932,-1.0982592e-12
0.57625300,-48.289889,351.74785,-1.0990909e-12
0.57725300,-49.081517,351.77439,-1.0999212e-12
0.57825300,-49.872964,351.79895,-1.1007501e-12
0.57925300,-50.664215,351.82153,-1.1015776e-12
0.58025300,-51.455260,351.84213,-1.1024037e-12
0.58125300,-52.246085,351.86075,-1.1032284e-12
0.58225300,-53.036679,351.87740,-1.1040517e-12
0.58325300,-53.827029,351.89207,-1.1048735e-12
0.58425300,-54.617123,351.90477,-1.1056938e-12
0.58525300,-55.406948,351.91551,-1.1065128e-12
0.58625300,-56.196493,351.92429,-1.1073303e-12
0.58725300,-56.985744,351.93110,-1.1081463e-12
0.58825300,-57.774691,351.93596,-1.1089608e-12
0.58925300,-58.563319,351.93886,-1.1097739e-12
0.59025300,-59.351618,351.93981,-1.1105855e-12
0.59125300,-60.139575,351.93881,-1.1113956e-12
0.59225300,-60.927177,351.93587,-1.1122042e-12
0.59325300,-61.714413,351.93099,-1.1130114e-12
0.59425300,-62.501270,351.92416,-1.1138170e-12
0.59525300,-63.287736,351.91541,-1.1146211e-12
0.59625300,-64.073800,351.90472,-1.1154237e-12
0.59725300,-64.859448,351.89211,-1.1162248e-12
0.59825300,-65.644668,351.87757,-1.1170243e-12
0.59925300,-66.429450,351.86111,-1.1178223e-12
0.60025300,-67.213779,351.84274,-1.1186188e-12
0.60125300,-67.997645,351.82246,-1.1194137e-12
0.60225300,-68.781035,351.80027,-1.1202070e-12
0.60325300,-69.563938,351.77618,-1.1209989e-12
0.60425300,-70.346340,351.75019,-1.1217891e-12
0.60525300,-71.128230,351.72230,-1.1225778e-12
0.60625300,-71.909597,351.69252,-1.1233648e-12
0.60725300,-72.690427,351.66086,-1.1241503e-12
0.60825300,-73.470710,351.62732,-1.1249343e-12
0.60925300,-74.250433,351.59191,-1.1257166e-12
0.61025300,-75.029584,351.55462,-1.1264973e-12
0.61125300,-75.808151,351.51546,-1.1272764e-12
0.61225300,-76.586123,351.47445,-1.1280539e-12
0.61325300,-77.363487,351.43158,-1.1288298e-12
0.61425300,-78.140232,351.38685,-1.1296041e-12
0.61525300,-78.916346,351.34028,-1.1303767e-12
0.61625300,-79.691817,351.29187,-1.1311477e-12
0.61725300,-80.466633,351.24162,-1.1319171e-12
0.61825300,-81.240783,351.18955,-1.1326848e-12
