X:Vel_RZ-Body5-slider_crank(rad/s),Y:Vel_RZ-Body5-slider_crank(rad/s)
0.23525300,2.1589163
0.23625300,2.1652582
0.23725300,2.1715762
0.23825300,2.1778701
0.23925300,2.1841400
0.24025300,2.1903860
0.24125300,2.1966079
0.24225300,2.2028058
0.24325300,2.2089797
0.24425300,2.2151297
0.24525300,2.2212556
0.24625300,2.2273575
0.24725300,2.2334354
0.24825300,2.2394894
0.24925300,2.2455193
0.25025300,2.2515252
0.25125300,2.2575072
0.25225300,2.2634651
0.25325300,2.2693990
0.25425300,2.2753089
0.25525300,2.2811949
0.25625300,2.2870568
0.25725300,2.2928947
0.25825300,2.2987087
0.25925300,2.3044986
0.26025300,2.3102645
0.26125300,2.3160064
0.26225300,2.3217244
0.26325300,2.3274183
0.26425300,2.3330882
0.26525300,2.3387342
0.26625300,2.3443561
0.26725300,2.3499540
0.26825300,2.3555279
0.26925300,2.3610779
0.27025300,2.3666038
0.27125300,2.3721057
0.27225300,2.3775836
0.27325300,2.3830376
0.27425300,2.3884675
0.27525300,2.3938734
0.27625300,2.3992554
0.27725300,2.4046133
0.27825300,2.4099472
0.27925300,2.4152571
0.28025300,2.4205431
0.28125300,2.4258050
0.28225300,2.4310429
0.28325300,2.4362569
0.28425300,2.4414468
0.28525300,2.4466127
0.28625300,2.4517546
0.28725300,2.4568726
0.28825300,2.4619665
0.28925300,2.4670364
0.29025300,2.4720824
0.29125300,2.4771043
0.29225300,2.4821022
0.29325300,2.4870761
0.29425300,2.4920261
0.29525300,2.4969520
0.29625300,2.5018539
0.29725300,2.5067318
0.29825300,2.5115858
0.29925300,2.5164157
0.30025300,2.5212216
0.30125300,2.5260036
0.30225300,2.5307615
0.30325300,2.5354954
0.30425300,2.5402053
0.30525300,2.5448913
0.30625300,2.5495532
0.30725300,2.5541911
0.30825300,2.5588051
0.30925300,2.5633950
0.31025300,2.5679609
0.31125300,2.5725028
0.31225300,2.5770208
0.31325300,2.5815147
0.31425300,2.5859846
0.31525300,2.5904306
0.31625300,2.5948525
0.31725300,2.5992504
0.31825300,2.6036243
0.31925300,2.6079743
