X:FX_GeoContact-GeoSurContact1-complex_contact(N),Y:FX_GeoContact-GeoSurContact1-complex_contact(N),Y:FY_GeoContact-GeoSurContact1-complex_contact(N),Y:FZ_GeoContact-GeoSurContact1-complex_contact(N)
0.096117000,7.5099439e-05,1.8052932e-05,-0.00031665695
0.097013000,0.0000000,0.0000000,0.0000000
0.098037000,0.0035598821,0.00075366669,-0.015576898
0.099061000,0.0045280638,0.00088610977,-0.020215962
0.10008500,0.0045896333,0.00077453659,-0.021177052
0.10110900,0.0048114817,0.0011339308,-0.020413555
0.10200500,0.0043231716,0.00077908662,-0.019672706
0.10302900,0.0053322194,0.0016830164,-0.020256200
0.10405300,0.00095454499,0.00037595996,-0.0032116422
0.10507700,0.0055428719,0.0022593243,-0.018226500
0.10610100,0.016062673,-0.0097913662,-0.050569498
0.10712500,0.0000000,0.0000000,0.0000000
0.10802100,0.0000000,0.0000000,0.0000000
0.10904500,0.0000000,0.0000000,0.0000000
0.11006900,0.0060386282,-0.0027993376,-0.026120441
0.11109300,0.0031159219,-0.0014221881,-0.013657642
0.11211700,0.0042407088,-0.0019059310,-0.018826784
0.11339700,0.0040216733,-0.0017707462,-0.018150643
0.11442100,0.0000000,0.0000000,0.0000000
0.11544500,0.0054878167,-0.00072714505,-0.038388295
0.11608500,0.25778710,-0.26721399,-1.2171062
0.11710900,0.00086379283,-0.0010066533,-0.0031710681
0.11813300,0.0047070838,-0.0054964327,-0.017521147
0.11915700,0.0045180414,-0.0052866439,-0.017060640
0.12018100,0.0044792655,-0.0052527913,-0.017169923
0.12120500,0.0044350094,-0.0052130934,-0.017271102
0.12222900,0.0043926764,-0.0051763458,-0.017395081
0.12325300,0.0043480578,-0.0051377108,-0.017527898
0.12427700,0.0043021895,-0.0050985017,-0.017675711
0.12530100,0.0042551673,-0.0050589087,-0.017840616
0.12681300,0.0041972593,-0.0050161375,-0.018176608
0.12781300,0.0042135952,-0.0050547865,-0.018671892
0.12881300,0.0042230587,-0.0050868351,-0.019173210
0.12981300,0.0041942506,-0.0050742586,-0.019533504
0.13081300,0.0041315557,-0.0050217933,-0.019760572
0.13181300,0.0040513522,-0.0049488321,-0.019921329
0.13281300,0.0039617629,-0.0048649550,-0.020048120
0.13381300,0.0038626439,-0.0047696864,-0.020133588
0.13431300,0.010846473,-0.026409628,-0.082199893
0.13506300,0.00058908874,-0.0018603509,-0.0058490940
0.13606300,0.025742059,-0.063210984,-0.19266693
0.13706300,4.8540470e-05,-0.00011808737,-0.00035042648
0.13806300,0.010637384,-0.025895662,-0.076851787
0.13906300,0.0055420476,-0.012083576,-0.035382777
0.14006300,0.0053245876,-0.012810271,-0.035625040
0.14106300,0.0026898056,-0.0070750850,-0.020753858
0.14206300,0.0022211110,-0.0066400016,-0.019499868
0.14300050,0.0020609841,-0.0067808886,-0.020126975
0.14400050,0.0018998691,-0.0067329492,-0.020241142
0.14500050,0.0000000,0.0000000,0.0000000
0.14600050,0.0084327112,-0.021375013,-0.060057053
0.14700050,0.0026453130,-0.0061561161,-0.016859698
0.14812550,0.0027031733,-0.0062753499,-0.017186243
0.14912550,0.0025059435,-0.0056369036,-0.015437736
0.15000050,0.0035649554,-0.013069042,-0.035557037
0.15100050,0.0018905911,-0.0068867279,-0.023235523
0.15206300,0.0000000,0.0000000,0.0000000
0.15306300,0.0000000,0.0000000,0.0000000
0.15406300,0.0014804997,-0.0044333751,-0.012756722
0.15506300,0.0024251815,-0.0073613752,-0.021598635
0.15618800,0.0000000,0.0000000,0.0000000
0.15718800,0.0000000,0.0000000,0.0000000
0.15818800,0.0020486821,-0.011651487,-0.025411559
0.15918800,0.0013188874,-0.0073404860,-0.016397775
0.16018800,0.0015138459,-0.0082918382,-0.018886336
0.16100050,0.0014781119,-0.0064778758,-0.017753720
0.16200050,0.0000000,0.0000000,0.0000000
0.16312550,0.00062923144,-0.0029009862,-0.0070818602
0.16412550,0.0015203281,-0.0069341826,-0.017316656
0.16512550,0.00095767938,-0.0049429856,-0.0090262042
0.16612550,0.0083521768,-0.055829329,-0.19098089
0.16712550,0.00017636643,-0.0012992402,-0.0045168557
0.16812550,0.0000000,0.0000000,0.0000000
0.16912550,0.0000000,0.0000000,0.0000000
0.17012550,0.0000000,0.0000000,0.0000000
0.17112550,0.13205096,-0.32516775,-0.77682875
0.17212550,0.017370482,-0.043584342,-0.10544748
0.17312550,0.00099417471,-0.0019826999,-0.0039764267
0.17412550,0.0000000,0.0000000,0.0000000
0.17500050,0.0026730480,-0.010505968,-0.025835089
0.17600050,-0.00087404890,-0.0077095000,-0.017308526
0.17700050,0.0030438412,-0.0031524699,-0.015276666
0.17800050,0.0000000,0.0000000,0.0000000
0.17900050,0.0000000,0.0000000,0.0000000
0.18000050,0.0000000,0.0000000,0.0000000
0.18100050,0.0000000,0.0000000,0.0000000
