X:Pos_TX-Body1-complex_contact(mm),Y:Pos_TX-Body1-complex_contact(mm),Y:Pos_TY-Body1-complex_contact(mm),Y:Pos_TZ-Body1-complex_contact(mm)
0.33609425,53.438858,47.978107,28.630028
0.33709425,53.453977,48.047823,28.654425
0.33834425,53.472958,48.132827,28.677901
0.33909425,53.484455,48.180937,28.693821
0.34009425,53.499861,48.243015,28.713070
0.34109425,53.515372,48.302188,28.731570
0.34209425,53.530980,48.358677,28.748875
0.34309425,53.546685,48.412459,28.765120
0.34409425,53.562499,48.462870,28.781295
0.34509425,53.578404,48.510055,28.796180
0.34609425,53.594393,48.553987,28.809862
0.34709425,53.610459,48.594986,28.822325
0.34809425,53.626603,48.633393,28.833614
0.34903175,53.641886,48.665863,28.845245
0.35003175,53.658300,48.697898,28.855098
0.35115675,53.676830,48.730869,28.864762
0.35203175,53.691310,48.753287,28.872663
0.35303175,53.707914,48.776653,28.879348
0.35409425,53.725639,48.798621,28.885634
0.35521925,53.744499,48.818728,28.891268
0.35621925,53.761342,48.833883,28.895428
0.35721925,53.778260,48.846491,28.898811
0.35846925,53.799514,48.858679,28.901969
0.35946925,53.816601,48.865585,28.903651
0.36046925,53.833764,48.869970,28.904593
0.36146925,53.851001,48.871844,28.904802
0.36246925,53.868315,48.871214,28.904282
0.36396925,53.894426,48.865597,28.902147
0.36496925,53.911927,48.858752,28.899821
0.36596925,53.929505,48.849435,28.896773
0.36696925,53.947157,48.837671,28.892952
0.36796925,53.964885,48.823442,28.888469
0.36896925,53.981555,48.806386,28.883837
0.36996925,53.997037,48.786349,28.879499
0.37096925,54.011341,48.763434,28.875071
0.37121925,54.014742,48.757278,28.873873
0.37209425,54.026138,48.734525,28.868909
0.37309425,54.038147,48.706105,28.862176
0.37409425,54.049228,48.675377,28.852859
0.37503175,54.058354,48.643604,28.844667
0.37603175,54.066851,48.607076,28.835810
0.37703175,54.073955,48.568186,28.828327
0.37803175,54.080285,48.527904,28.816809
0.37909425,54.085501,48.482103,28.804081
0.38021925,54.089436,48.430443,28.789318
0.38121925,54.091559,48.381782,28.775092
0.38221925,54.092388,48.330538,28.759819
0.38346925,54.091609,48.262855,28.739213
0.38446925,54.089078,48.205485,28.724875
0.38521925,54.086002,48.160706,28.715914
0.38609425,54.081514,48.107163,28.704787
0.38709425,54.075789,48.045122,28.687118
0.38809425,54.068723,47.980999,28.666950
0.38909425,54.059845,47.914056,28.646791
0.39021925,54.046192,47.835626,28.632847
0.39121925,54.030889,47.764255,28.627677
0.39221925,54.015343,47.692761,28.614039
0.39321925,53.997457,47.620062,28.603556
0.39421925,53.977708,47.546402,28.593582
0.39521925,53.956397,47.471975,28.582867
0.39621925,53.934380,47.397260,28.567113
0.39709425,53.909390,47.337677,28.566626
0.39809425,53.875661,47.274878,28.575964
0.39909425,53.840761,47.213281,28.579873
0.40009425,53.802694,47.154935,28.585764
0.40109425,53.762621,47.098651,28.589495
0.40209425,53.721346,47.045447,28.598040
0.40309425,53.680232,46.994467,28.609012
0.40409425,53.639169,46.947097,28.621989
0.40509425,53.598243,46.905730,28.639432
0.40609425,53.557185,46.866530,28.652380
0.40703175,53.518927,46.834216,28.666814
0.40803175,53.478842,46.803477,28.682192
0.40915675,53.434810,46.772974,28.698307
0.41003175,53.402788,46.752832,28.712760
0.41103175,53.367758,46.732319,28.727277
0.41203175,53.334522,46.714712,28.740322
0.41303175,53.303232,46.700295,28.752316
0.41409425,53.272760,46.689662,28.765230
0.41509425,53.246137,46.683122,28.775142
0.41609425,53.221536,46.679968,28.782994
0.41709425,53.198970,46.680194,28.788833
0.41834425,53.173644,46.685218,28.793371
0.41934425,53.155701,46.693015,28.794849
0.42034425,53.139831,46.704158,28.794458
0.42134425,53.126044,46.718632,28.792237
0.42234425,53.114323,46.736378,28.788123
0.42334425,53.104728,46.757448,28.782340
0.42434425,53.097606,46.780819,28.775414
0.42534425,53.094479,46.806751,28.771932
0.42609425,53.094211,46.827324,28.769679
0.42709425,53.095922,46.855774,28.764816
0.42821925,53.101090,46.889358,28.758120
0.42921925,53.108491,46.920575,28.750787
0.43046925,53.121506,46.961431,28.738732
0.43146925,53.135323,46.995778,28.727517
0.43246925,53.152184,47.031609,28.714969
0.43346925,53.172093,47.068928,28.701134
0.43446925,53.195046,47.107733,28.686035
0.43546925,53.221035,47.148018,28.669679
0.43646925,53.249841,47.189677,28.651346
0.43721925,53.272870,47.221620,28.634691
0.43821925,53.306363,47.265575,28.610297
0.43909425,53.339000,47.306112,28.590770
0.44009425,53.379140,47.354749,28.570394
0.44109425,53.420852,47.404785,28.547779
0.44221925,53.474497,47.459227,28.536129
0.44303175,53.516128,47.496792,28.536463
0.44403175,53.568025,47.542182,28.536646
0.44503175,53.620582,47.586612,28.536737
0.44603175,53.672873,47.629322,28.543556
0.44703175,53.724249,47.670855,28.551245
0.44803175,53.771672,47.710030,28.567390
0.44903175,53.817314,47.748140,28.581838
0.45003175,53.860768,47.784928,28.596343
0.45115675,53.907310,47.824879,28.611310
0.45215675,53.947945,47.859954,28.617591
0.45315675,53.986711,47.894193,28.625823
0.45415675,54.022810,47.925377,28.639973
0.45503175,54.052853,47.950441,28.653085
0.45603175,54.085768,47.976899,28.666795
0.45703175,54.117037,48.000810,28.679791
0.45803175,54.146662,48.022169,28.691982
0.45903175,54.174630,48.040948,28.703318
0.46003175,54.201472,48.057988,28.711101
0.46103175,54.227061,48.073223,28.717659
0.46215675,54.254205,48.088006,28.724654
0.46315675,54.276888,48.099065,28.730338
0.46415675,54.298196,48.108135,28.735527
0.46515675,54.318115,48.115190,28.740202
0.46615675,54.336636,48.120206,28.744336
0.46715675,54.353750,48.123165,28.747896
0.46815675,54.369449,48.124046,28.750848
0.46915675,54.383725,48.122832,28.753153
0.47015675,54.396571,48.119506,28.754776
0.47115675,54.407979,48.114047,28.755677
0.47215675,54.417944,48.106442,28.755830
0.47315675,54.426460,48.096679,28.755205
0.47415675,54.433523,48.084747,28.753778
0.47515675,54.439126,48.070632,28.751529
0.47615675,54.443266,48.054323,28.748444
0.47715675,54.445936,48.035809,28.744510
0.47815675,54.447132,48.015080,28.739720
0.47915675,54.446849,47.992126,28.734070
0.48015675,54.445084,47.966938,28.727558
0.48115675,54.441830,47.939507,28.720182
0.48215675,54.437087,47.909827,28.711939
0.48315675,54.430849,47.877891,28.702825
0.48415675,54.423115,47.843693,28.692831
0.48515675,54.413885,47.807231,28.681942
0.48615675,54.402408,47.769309,28.677179
0.48715675,54.389529,47.730946,28.673673
0.48840675,54.371653,47.682303,28.667931
0.48915675,54.359856,47.652686,28.664417
0.49015675,54.342910,47.612702,28.659413
0.49115675,54.324566,47.572153,28.654085
0.49215675,54.304836,47.531042,28.648360
0.49315675,54.283679,47.489353,28.642511
0.49415675,54.261100,47.447083,28.636448
0.49515675,54.237141,47.404238,28.629765
0.49615675,54.210321,47.363190,28.627683
0.49715675,54.180149,47.325481,28.630554
0.49803175,54.152123,47.294155,28.631790
0.49903175,54.118622,47.259879,28.631873
0.50003175,54.083722,47.227070,28.631524
0.50103175,54.047413,47.195735,28.630664
0.50228175,54.000013,47.158674,28.628855
0.50328175,53.960463,47.130730,28.626806
0.50428175,53.919457,47.104306,28.624143
0.50528175,53.876978,47.079420,28.620860
0.50628175,53.833017,47.056082,28.616913
0.50778175,53.764300,47.023973,28.609767
0.50828175,53.740664,47.014033,28.607071
0.50903175,53.705170,47.000877,28.608626
0.51009425,53.655223,46.984100,28.612144
0.51121925,53.602289,46.968267,28.614345
0.51221925,53.554640,46.956275,28.618906
0.51321925,53.508498,46.948739,28.624620
0.51409425,53.469941,46.945732,28.632361
0.51503175,53.430753,46.944596,28.641408
0.51603175,53.390495,46.944695,28.648222
0.51715675,53.349047,46.947341,28.658145
0.51803175,53.320975,46.951454,28.668627
0.51903175,53.291605,46.957479,28.678656
